file name,total_blinks,blink duration (mean),blink duration (max),earlyStage_blinks,midStage_blinks,lateStage_blinks,inter-blink intervals (mean),inter-blink intervals (std),burst counts,mismatch Counts,blink ratio near switch,naturalness score,grid counts per blink (mean),Stress Score,Stress Group,Clusters
gaze_log_20250629_123849.csv,12,0.1039124528566996,0.1804800033569336,3,2,7,6.393799976869063,5.563711574059117,2,21,0.0833333333333333,0.0694444444444444,3.083333333333333,52,Mid,0
gaze_log_20250629_111811.csv,4,0.100274920463562,0.1106598377227783,1,1,2,9.620680014292398,9.397487121092286,0,38,0.0,0.0,4.0,78,High,0
gaze_log_20250628_121612.csv,8,0.130372554063797,0.2083401679992675,2,1,5,8.555708544594902,4.575551747709189,0,94,0.125,0.125,4.5,45,Low,0
gaze_log_20250627_162819.csv,52,0.1195277113180894,0.5420701503753662,16,13,23,1.3712801980037317,0.8432421437889634,33,393,0.1153846153846153,0.0421597633136094,2.1538461538461537,45,Low,1
gaze_log_20250627_141756.csv,3,0.1203966935475667,0.1386499404907226,0,1,2,11.25858509540558,5.869535088539124,0,18,0.0,0.0,4.666666666666667,74,High,0
gaze_log_20250628_121941.csv,19,0.1175689195331774,0.276320219039917,6,5,8,3.330358889367845,1.3367409132396595,0,121,0.1578947368421052,0.1578947368421052,5.2105263157894735,59,High,0
gaze_log_20250629_184203.csv,8,0.1115525066852569,0.1950099468231201,3,3,2,6.543765681130545,5.6296491762980905,0,64,0.375,0.375,3.375,69,High,0
gaze_log_20250627_170012.csv,6,0.192086656888326,0.4025800228118896,1,1,4,10.923221969604493,7.850226090202787,0,35,0.0,0.0,3.6666666666666665,50,Mid,2
gaze_log_20250628_165442.csv,22,0.1366005052219737,0.3611800670623779,4,10,8,2.756594294593448,3.339772204666355,8,87,0.1818181818181818,0.1157024793388429,3.636363636363636,61,High,1
gaze_log_20250629_111556.csv,28,0.1293738739831107,0.2782702445983886,13,6,9,2.5330837037828235,1.2412311232776527,4,113,0.1071428571428571,0.0918367346938775,3.607142857142857,47,Low,1
gaze_log_20250628_165654.csv,3,0.1249797344207763,0.2085297107696533,0,1,2,16.772755026817322,4.328024983406067,0,13,0.0,0.0,2.0,24,Low,0
gaze_log_20250627_143143.csv,23,0.1242791362430738,0.3466200828552246,11,4,8,2.800645448944785,2.088732129047695,3,38,0.0869565217391304,0.0756143667296786,3.869565217391304,54,Mid,0
gaze_log_20250628_103843.csv,46,0.1402813196182251,0.4997801780700683,10,16,20,1.611524661382039,1.438983773361934,24,98,0.108695652173913,0.051984877126654,3.782608695652174,59,High,1
gaze_log_20250627_114436.csv,37,0.1370686582616857,0.4442698955535888,14,7,16,1.876281393898858,1.4144008052515753,13,80,0.1081081081081081,0.0701241782322863,3.324324324324324,49,Low,1
gaze_log_20250629_113036.csv,27,0.126459969414605,0.2081198692321777,10,4,13,2.747955377285297,2.85063847483513,8,128,0.1111111111111111,0.0781893004115226,3.1481481481481484,61,High,1
gaze_log_20250627_130231.csv,4,0.131890058517456,0.1392700672149658,3,1,0,5.282906611760457,3.0641101066834886,0,26,0.0,0.0,4.0,37,Low,0
gaze_log_20250629_184835.csv,11,0.1095245317979292,0.1942601203918457,9,0,2,6.112293028831482,11.189476620797311,3,84,0.0909090909090909,0.0661157024793388,1.5454545454545454,61,High,0
gaze_log_20250629_174522.csv,32,0.1140046864748001,0.2223100662231445,14,4,14,2.3262748410624843,2.537202588435983,11,219,0.0625,0.041015625,3.96875,41,Low,1
